"CNV_clone","feature","mean_score","median_score","sd_score"
"Subclone_02","TF_MYC",0.244527675075794,0.228775969400278,0.160041046830003
"Subclone_03","TF_MYC",0.228180302822825,0.190673448485165,0.227858771705278
"Subclone_04","TF_MYC",0.220873045160694,0.20542012366077,0.149291673965477
"Subclone_05","TF_MYC",0.135500823881579,0.108360433942297,0.154518571574576
"Subclone_01","TF_TP53",0.224243905050473,0,0.297312779347438
"Subclone_02","TF_TP53",0.310843961176445,0.284721662457563,0.222066761530175
"Subclone_03","TF_TP53",0.16134874872458,0.126780021861796,0.187894742831725
"Subclone_04","TF_TP53",0.329323441651658,0.299497812110534,0.231980561652748
"Subclone_05","TF_TP53",0.120576553122133,0,0.191737557088388
"Subclone_01","TF_FOXM1",0.138786160810581,0,0.349507079189554
"Subclone_02","TF_FOXM1",0.0495762428902305,0,0.174171290273822
"Subclone_03","TF_FOXM1",0.0967078709297999,0,0.250841860317905
"Subclone_04","TF_FOXM1",0.0734979053562257,0,0.209389554134367
"Subclone_05","TF_FOXM1",0.0603289620238205,0,0.278753000940673
"Subclone_01","TF_KLF4",0.623397721672364,0.53836330722172,0.613600691333703
"Subclone_02","TF_KLF4",1.16728779585884,1.23137613943203,0.674683293306325
"Subclone_03","TF_KLF4",0.468603205177603,0.327641493544239,0.516686246391626
"Subclone_04","TF_KLF4",1.08988698266038,1.12238627345069,0.636169796622439
"Subclone_05","TF_KLF4",0.589051511328561,0.485151695319531,0.575176947168508
