"","Smooth_muscle_cells","CNV_Subclone_01","T_NK_¦Ã¦ÄT","Macrophages","T_NK_CD4+ T effector","T_NK_CD8+ T cytotoxic","Myeloid_Macro-LYVE1","Myeloid_Macro-THBS1","T_NK_Th17","T_NK_CD8+ T effector","Myeloid_Macro-Inflammatory_M1","Myeloid_Macro-TIMD4","T_NK_CD4+ T naive","T cells","B_Bn_TCL1A","CNV_Subclone_02","T_NK_CD56dim cytotoxic NK","Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_03","T_NK_CD8+ T resident memory","CNV_Subclone_04","Myeloid_Macro-M2-like","Myeloid_Macro-MCEMP1","Myeloid_Proliferating Myeloid","Myeloid_Monocyte-like","Myeloid_Macro-C3/CX3CR1","T_NK_MAIT","B cells","B_Classical-Bm_TXNIP","T_NK_CD56bright regulatory","Myeloid_cDC2","T_NK_CD4+ T regulatory","Myeloid_Interferon-Responsive Myeloid","Myeloid_cDC2-like","B_PC_IGHG","Monocytes","Myeloid_cDC1","T_NK_CD8+ T CXCL13","DC","B_Bm_stress-response","CNV_Subclone_05","Myeloid_mDC_LAMP3","NK cells","B_Early-PC_MS4A1low"
"LRP1",0.910253330609867,0.103329808524011,0.00428565302618457,0.496351994125848,0.00626608445512902,0.00641440931035168,1.28104320406624,1.2995564784584,0.0042131441916836,0.0147760522718625,0.599729133149096,1.1876441668535,0.00692275952910615,0.0339646186394982,0.00300475267186235,0.189185279884369,0,0.517560629875468,0.0498705851701216,0.00294217239427473,0.121485497207599,0.634231744795758,0.850331967035213,0.678795399800368,1.0886768747522,0.700808194328268,0.002504058869138,0.594941819012903,0.00527758937127478,0.0111567418456665,0.304457745978408,0.00793763815195112,0.876398670519601,0.351795590082357,0.0221796722616976,0.669331542101553,0.0266076250240355,0.00603057798238186,0.177378258154006,0.0403060519856273,0.111715910646964,0.0801211988616232,0.0609456334169171,0.0063997216793409
"LRP11",0.048315417645683,0.0214705137128813,0.00209572229503705,0.0184216016603353,0.00526518872853421,0.00144103961779044,0.0127496024736635,0.00923162881920454,0.00834610564687616,0.00595451962368776,0.0144397885261322,0.0144643310974686,0.000975154740548433,0.0137453839963408,0.00336819355194654,0.0526906347794761,0,0.0118389979074645,0.0215086997170675,0.00247687374805293,0.0668257132799828,0.0174781626515526,0.00148469439390562,0.050230512457044,0.00214210411155724,0.0175144269766964,0,0.0301822485283964,0.0180451684580334,0.00148603544827342,0.00146575110174522,0,0.0266582370397354,0.0051939077447723,0.00168452036883654,0.00786980315717593,0.00153341380460241,0,0.012928268419049,0,0.0212772134232339,0.00784118880316335,0.0607916049861554,0
"LRP1B",0.00544487211307431,0.00226978752728811,0,0.00203626834253202,0,0,0,0.000687779222036916,0,0,0,0.000416027628184758,0,0.00698864289048014,0,0.0036215614382129,0,0,0.00561031129932674,0,0.0288660589795313,0,0.00122439513111284,0.00026884094664322,0,0,0,0.00286778028722132,0,0,0.00795475415815015,0,0,0.00313597558687895,0,0.00266069099807033,0,0,0.00237596871068241,0,0.0219914450866802,0,0,0
"LRP2",0.0143904662793636,0.00671331650979069,0,0.0038479638780776,0,0,0,0,0,0,0,0,0,0.00758648233306362,0,0.0240770915455821,0,0,0.0230708389251249,0,0.0316038748042227,0.00302575236965185,0,0.000577681433498076,0.00245480370489903,0,0,0.00330800772042566,0,0,0,0,0.00176150635908608,0,0.00122555623020289,0.00345487886444245,0,0,0.00459774120547552,0,0.0290372122292312,0,0,0
"LRP4",0.011384126768977,0.00658569044680806,0,0.000943172493954278,0,0,0,0,0,0,0,0,0,0.000255621392518675,0,0.00761484008361455,0,0,0.00133510569943165,0,0.0026960684962699,0,0,0.00138455564199546,0,0.00127811375175582,0,0.0060207685029958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRP5",0.0818145965507955,0.045435189719983,0.000899639493913817,0.0122722171689571,0.00360592808836305,0,0.0112147196522046,0.00896502930693011,0,0.00134328340808374,0.00619267264041107,0.00478222914678807,0.00352104652325133,0.00875463911876075,0.00242160756620614,0.156476433493679,0.00138686587536846,0.00126115974613759,0.046808985972186,0.00106455286002715,0.128901813642048,0.0106284506206005,0.00953065295417799,0.0137844342761213,0.00479033627753215,0.00248267682483825,0.00264877322759929,0.0339865840579101,0.00379705383678979,0.00361642563095383,0.0177985603715226,0,0.0123022152581794,0.0242527007743519,0.0147517572055856,0.00389772066981546,0.0415221572718173,0,0.0404679343627808,0.0189687410180513,0.199328964572401,0,0.00936725508110057,0.0291902294481358
"LRP6",0.0937845108260435,0.0460276326139236,0,0.0159712542971214,0.000614823712157515,0,0.00387291929597252,0.00531987735316511,0.00140839761876832,0.00493528019593518,0.00412522204391708,0.00120297826491318,0.000974008905873232,0.0152560070459431,0.00177591681210471,0.128740313166309,0,0.00737795372263524,0.0313028731995641,0,0.0964566200491564,0.0040342645909681,0,0.00276501678879171,0,0,0,0.0242004804212291,0,0,0.00269755696830173,0.0042257724458568,0.00103898158145784,0.0136645762228705,0.00453074603523727,0.00767217429790585,0.00736504412625115,0,0.00902251796231322,0.0200986451343508,0.108526332914192,0.0173336009059953,0,0
"LRP8",0.0100612993305878,0.0190496423677227,0.0204025800985347,0.0127669159712566,0.0372492138511443,0.0318976940755216,0.0116040710157225,0.0148450978475178,0.0126759718562931,0.0210788499793468,0.00175497397177001,0.020199067662935,0.024366584261425,0.0253297399984141,0.00395845103422524,0.0603794086964622,0.0175133896329326,0.00571998724772877,0.0248932953491161,0.0309300667810239,0.0649980920956693,0.00744374610956848,0.0117340725955178,0.0337998806863846,0.0174560170511977,0.00494118613248117,0.0124689712590171,0.0142063695971244,0.0151969521726258,0.0367522289904723,0.0260391162339181,0.0428371081716849,0.00626870363821581,0.00341386639307507,0.00490952534321321,0.0229740049014749,0.00950363485329517,0.0530997751481724,0.0550880296411448,0,0.0056446279659213,0.0631630380537618,0.0179910987166007,0.0412229812554472
"LRPAP1",0.532442576365163,0.253920133174355,0.399548786960706,0.341820339679578,0.383759907455096,0.35096543120886,0.423644138301938,0.527095875412951,0.387993134851704,0.17704652334368,0.396920853486294,0.451828756198565,0.326871476979284,0.319093835164681,0.259144542974952,0.672920639340038,0.461701645908218,0.395795253018265,0.231078033801249,0.361277222269038,0.619746144921716,0.291813570595393,0.547253532561199,0.579527418211663,0.496333256660606,0.557176260449763,0.374998070789846,0.480631377838867,0.307568286825687,0.349437934419924,0.452231694577067,0.353049609644046,0.860338739517803,0.398010425972688,0.294771710141153,0.583408348851353,0.437833268532141,0.305701704223196,0.44745361876733,0.207005080739041,0.543578289166006,0.373853099999345,0.367892418211646,0.88730901466776
"LRRC4",0.00413132763141449,0.0114561895610851,0.000378773114867422,0.0152328684410033,0,0,0.0146185038682275,0.00976979804522791,0,0,0.0302617152442116,0.00780945798493378,0,0.00737475719070988,0,0.00300412791695405,0.00236124094311012,0.0250436157999085,0.0118223306726667,0,0.0186596312576114,0.0495710358067574,0.00935945983039611,0.0146884882793284,0.0084492248821024,0.046049203736179,0,0.00861269916924904,0,0,0.00825678573005627,0,0.00406172425617648,0,0,0.0109790684540094,0.00283002244324552,0,0.00511497734742023,0,0.00320006753233606,0,0,0
