"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct"
"Myeloid_Macro-MCEMP1","DC","MIF","CD74",11.9861292549493,2.26234705231963,5.60576585781069,0.945115257958288,1
"Myeloid_Macro-Inflammatory_M1","DC","MIF","CD74",11.9837666497435,2.35820189736673,5.60576585781069,0.906520031421838,1
"Myeloid_cDC1","Myeloid_mDC_LAMP3","MIF","CD74",11.971484139577,2.05575171846876,5.84767373194563,0.995850622406639,1
"NK cells","Myeloid_cDC2","MIF","CD74",11.9679128045199,2.23203945332629,5.99268195116116,0.894736842105263,1
"Myeloid_Macro-C3/CX3CR1","Myeloid_cDC1","MIF","CD74",11.9052303428527,2.03839543865676,6.63227775258739,0.880616174582799,1
"Myeloid_Proliferating Myeloid","Myeloid_Macro-Inflammatory_M1","MIF","CD74",11.8989372326774,2.51942695338774,4.8515377434137,0.984304932735426,0.989002356637863
"Myeloid_cDC2","Myeloid_cDC2","MIF","CD74",11.8527484558092,1.9957212509056,5.99268195116116,0.991055456171735,1
"Myeloid_Macro-MCEMP1","Myeloid_Interferon-Responsive Myeloid","TIMP1","CD63",11.8392216900718,4.4748490356526,2.67428539375647,0.998902305159166,0.990407673860911
"T_NK_CD4+ T effector","Myeloid_mDC_LAMP3","MIF","CD74",11.8366159488844,2.17449601890007,5.84767373194563,0.930863081789426,1
"CNV_Subclone_03","Myeloid_Macro-MCEMP1","MIF","CD74",11.8197594315958,3.0661623920733,3.98874764544222,0.969637610186092,0.996706915477497
"T_NK_CD8+ T resident memory","Myeloid_cDC1","MIF","CD74",11.819709339254,2.05632614758289,6.63227775258739,0.866666666666667,1
"Smooth_muscle_cells","Myeloid_Macro-Inflammatory_M1","MIF","CD74",11.8160203570082,2.67023686459798,4.8515377434137,0.922241587344148,0.989002356637863
"CNV_Subclone_01","DC","MIF","CD74",11.8112942710126,2.54125547300835,5.60576585781069,0.829113924050633,1
