"ligand","receptor"
"CCL1","ACKR4"
"PPY","GPR83"
"PYY","GPR83"
"PDYN","OPRL1"
"POMC","OPRL1"
"PRSS3","F2RL3"
"CTSG","F2RL3"
"GZMA","F2RL3"
"PRSS2","F2RL3"
"PRSS1","F2RL3"
"PRSS3","PARD3"
"CTSG","PARD3"
"GZMA","PARD3"
"PRSS2","PARD3"
"PRSS1","PARD3"
"INSL3","RXFP4"
"RLN1","RXFP4"
"SLURP1","CHRNB1"
"SLURP1","CHRNA1"
"SLURP1","CHRNA2"
"SLURP1","CHRNA5"
"SLURP1","CHRNA6"
"SLURP1","CHRND"
"SLURP1","CHRNE"
"LAMC3","CD44"
"COL2A1","SDC1"
"COL4A1","SDC1"
"COL4A2","SDC1"
"COL4A3","SDC1"
"COL4A4","SDC1"
"COL4A5","SDC1"
"COL4A6","SDC1"
"COL6A1","SDC1"
"COL6A2","SDC1"
"COL6A3","SDC1"
"COL6A5","SDC1"
"COL6A6","SDC1"
"COMP","SDC1"
"COL1A1","SDC4"
"COL1A2","SDC4"
"COL2A1","SDC4"
"COL4A1","SDC4"
"COL4A2","SDC4"
"COL4A3","SDC4"
"COL4A4","SDC4"
"COL4A5","SDC4"
"COL4A6","SDC4"
"COL6A1","SDC4"
"COL6A2","SDC4"
"COL6A3","SDC4"
"TNN","SDC4"
"TNXB","SDC4"
"THBS2","SDC4"
"THBS3","SDC4"
"THBS4","SDC4"
"COMP","SDC4"
"LAMA1","SV2A"
"LAMA2","SV2A"
"LAMA3","SV2A"
"LAMA4","SV2A"
"LAMB1","SV2A"
"LAMB2","SV2A"
"LAMB3","SV2A"
"LAMC1","SV2A"
"LAMC2","SV2A"
"LAMC3","SV2A"
"LAMA1","SV2B"
"LAMA2","SV2B"
"LAMA3","SV2B"
"LAMA4","SV2B"
"LAMA5","SV2B"
"LAMB1","SV2B"
"LAMB2","SV2B"
"LAMB3","SV2B"
"LAMC1","SV2B"
"LAMC2","SV2B"
"LAMC3","SV2B"
"LAMA1","SV2C"
"LAMA2","SV2C"
"LAMA3","SV2C"
"LAMA4","SV2C"
"LAMA5","SV2C"
"LAMB1","SV2C"
"LAMB2","SV2C"
"LAMB3","SV2C"
"LAMC1","SV2C"
"LAMC2","SV2C"
"LAMC3","SV2C"
"THBS4","CD36"
"COL2A1","GP6"
"COL4A1","GP6"
"COL4A2","GP6"
"COL4A3","GP6"
"COL4A4","GP6"
"COL4A5","GP6"
"COL4A6","GP6"
"COL6A1","GP6"
"COL6A2","GP6"
"COL6A3","GP6"
"COL6A5","GP6"
"COL6A6","GP6"
"COL9A1","GP6"
"COL9A2","GP6"
"THBS3","CD47"
"THBS4","CD47"
"LAMA3","DAG1"
"LAMB3","DAG1"
"LAMC2","DAG1"
"LAMC3","DAG1"
"CD99","CD99L2"
"HLA-F","CD8A"
"HLA-A","CD8B"
"HLA-B","CD8B"
"HLA-C","CD8B"
"HLA-E","CD8B"
"HLA-F","CD8B"
"HLA-G","CD8B"
"HLA-A","CD8B2"
"HLA-B","CD8B2"
"HLA-C","CD8B2"
"HLA-E","CD8B2"
"HLA-F","CD8B2"
"HLA-G","CD8B2"
"HLA-DPB1","CD4"
"HLA-DQA1","CD4"
"HLA-DMA","CD4"
"HLA-DMB","CD4"
"HLA-DOA","CD4"
"HLA-DOB","CD4"
"HLA-DRB5","CD4"
"MPZ","MPZL1"
"NCAM1","NCAM2"
"NCAM2","L1CAM"
"SELL","MADCAM1"
"CYP11A1","NR1H4"
"DHRS9","PGR"
"ADORA3","ENTPD1"
"ENTPD1","ADORA3"
"CYP17A1","AR"
"HSD17B6","NR1H4"
"APOB","APOBR"
"ALDH1A1","RORB"
"ALDH1A2","RORB"
"ALDH1A3","RORB"
"CADM3","EPB41L1"
"CYP27B1","VDR"
"CEL","RORC"
"DHCR24","RORC"
"LIPA","RORC"
"UBASH3B","ESR1"
"UBASH3B","NR1I2"
"DHCR7","NR1H2"
"DHCR7","NR1H3"
"CYP21A2","NR3C2"
"SULT1E1","PPARA"
"SULT1E1","PPARD"
"SULT1E1","PPARG"
"SULT1A1","PPARA"
"SULT1A1","PPARD"
"SULT1A1","PPARG"
"SRD5A1","AR"
"SRD5A2","AR"
"SRD5A3","AR"
"CYP19A1","ESR1"
"CYP19A1","ESR2"
"CYP19A1","GPER1"
"CYP19A1","NR1I2"
"HSD17B1","ESR1"
"HSD17B1","ESR2"
"HSD17B1","GPER1"
"HSD17B1","NR1I2"
"NTN4","UNC5D"
"AKR1C3","PTGDR2"
"DDC","HTR1E"
"DDC","HTR1F"
"DDC","HTR2A"
"DDC","HTR2B"
"DDC","HTR2C"
"DDC","HTR3A"
"DDC","HTR3C"
"DDC","HTR6"
"DDC","HTR7"
"DDC","DRD1"
"DDC","DRD2"
"DDC","DRD4"
"DDC","DRD5"
"HSD17B12","AR"
"APP","SLC45A3"
"BDNF","DDR1"
"BMP3","ACVR1"
"C6orf15","DDR1"
"CGA","SIRPA"
"CLEC11A","KIT"
"CXCL13","HTR2A"
"ECM1","CACHD1"
"EGFL8","NCR3"
"FGF10","FGFR3"
"FGF10","FGFR4"
"GDNF","SLC44A5"
"GZMB","PGRMC1"
"HHIPL2","CACHD1"
"HLA-C","DDR1"
"HLA-C","SLC9C2"
"HLA-E","SLC16A4"
"HSPG2","CHRM3"
"IL10","SIRPG"
"IL2","GYPE"
"LGALS3BP","VANGL1"
"LTA","CACHD1"
"LTA","EDNRA"
"LTF","GP9"
"LTF","GPR162"
"MATN1","PTPRD"
"MDK","PTPRB"
"MMP7","CDH6"
"NTF4","NTRK3"
"OLAH","MOG"
"P4HB","GPR162"
"PAPLN","NECTIN4"
"PAPLN","SIRPA"
"REN","ASIC3"
"TF","GPR162"
"TGFB1","CD109"
"THPO","SIRPB1"
"TNC","NT5E"
"TNF","SLC5A11"
"VEGFB","TYRO3"
"TYR","GPR143"
"PNMT","ADRA1A"
"PNMT","ADRA1B"
"PNMT","ADRA1D"
"PNMT","ADRA2A"
"PNMT","ADRA2B"
"PNMT","ADRA2C"
"PNMT","ADRB1"
"LTA4H","GPR17"
"LTC4S","CYSLTR1"
"LTC4S","CYSLTR2"
"ALOX12","CYSLTR1"
"AKR1B1","PTGFR"
"AKR1C3","PTGDR"
"SFRP4","WNT1"
"SFRP5","WNT1"
"FRZB","WNT10A"
"FRZB","WNT16"
"SFRP1","WNT16"
"SFRP2","WNT16"
"SFRP4","WNT16"
"SFRP5","WNT16"
"WIF1","WNT16"
"FRZB","WNT2"
"SFRP2","WNT2"
"SFRP4","WNT2"
"SFRP5","WNT2"
"WIF1","WNT2"
"FRZB","WNT2B"
"SFRP1","WNT2B"
"SFRP2","WNT2B"
"SFRP4","WNT2B"
"SFRP5","WNT2B"
"WIF1","WNT2B"
"FRZB","WNT3"
"SFRP1","WNT3"
"SFRP2","WNT3"
"SFRP4","WNT3"
"SFRP5","WNT3"
"WIF1","WNT3"
"SFRP4","WNT3A"
"SFRP5","WNT3A"
"FRZB","WNT4"
"SFRP4","WNT4"
"SFRP5","WNT4"
"FRZB","WNT6"
"SFRP1","WNT6"
"SFRP2","WNT6"
"SFRP4","WNT6"
"SFRP5","WNT6"
"WIF1","WNT6"
"FRZB","WNT7A"
"SFRP1","WNT7A"
"SFRP2","WNT7A"
"SFRP5","WNT7A"
"FRZB","WNT7B"
"SFRP1","WNT7B"
"SFRP2","WNT7B"
"SFRP4","WNT7B"
"SFRP5","WNT7B"
"WIF1","WNT7B"
"FRZB","WNT9A"
"SFRP1","WNT9A"
"SFRP2","WNT9A"
"SFRP4","WNT9A"
"SFRP5","WNT9A"
"FRZB","WNT9B"
"SFRP1","WNT9B"
"SFRP2","WNT9B"
"SFRP4","WNT9B"
"SFRP5","WNT9B"
"WIF1","WNT9B"
"NSMF","GNRHR"
"TYROBP","CD44"
"CALM1","ABCA1"
"CALM1","PLPP6"
"CALM2","ABCA1"
"CALM3","ABCA1"
"CALM3","PLPP6"
"CCL23","ADRA2A"
"CCL23","GRM7"
"CCL23","MTNR1A"
"DUSP18","ITGA1"
"DUSP18","ITGA2"
"DUSP18","ITGA7"
"GPC6","LRP1"
"GPC6","LRP2"
"MAPK1","FGFR2"
"PIK3CD-AS1","LY6G6C"
"PIK3CD-AS1","SLC16A4"
"RPS27A","ADRB2"
"RPS27A","ERBB2"
"RPS27A","FGFR2"
"RPS27A","LDLR"
"RPS27A","LRP2"
"RPS27A","SMAD3"
"RPS27A","TGFBR2"
"RPS27A","TLR4"
"UBA52","ADRB2"
"UBA52","AGTR1"
"UBC","ERBB2"
"UBA52","EGFR"
"UBA52","FGFR2"
"UBA52","LDLR"
"UBA52","LRP2"
"UBA52","SMAD3"
"UBA52","TGFBR2"
"UBA52","TLR4"
"UBB","ADRB2"
"UBB","FGFR2"
"UBB","LDLR"
"UBB","LRP2"
"UBB","SMAD3"
"UBB","TGFBR2"
"UBB","TLR4"
"UBC","TGFBR1"
"UBC","TGFBR2"
"UBC","TLR4"
"C3","IFITM3"
"C3","IFITM2"
"IL1RN","IL1A"
"PORCN","WNT16"
"NOTUM","WNT16"
"ROR1","FZD10"
"RYK","FZD10"
"CHRD","GDF7"
"NOG","GDF7"
"INHBA","TGFB1"
"LEFTY1","TGFB1"
"INHBA","NODAL"
"LEFTY1","NODAL"
"GREM1","GDF7"
"NBL1","GDF7"
"IL1RN","IL1B"
"ANP32B","TNFRSF17"
"ADAM11","CCR4"
"NAT10","CCR10"
"ASRGL1","CCR10"
"PDLIM3","CCR10"
"DKK1","WNT16"
"WNT16","FZD1"
"LEFTY1","TGFB2"
"SFRP4","WNT10A"
"CHRD","GDF6"
"NOG","BMP8B"
"PORCN","WNT3"
"NOG","GDF6"
"PORCN","WNT9B"
"WNT9B","FZD1"
"INHBB","NODAL"
"NOG","BMP8A"
"WIF1","WNT10B"
"WIF1","WNT10A"
"FST","INHBB"
"CHRD","BMP6"
"INHBC","TGFB2"
"LTBP1","TGFB2"
"LEFTY2","TGFB1"
"NOG","BMP6"
"INHBC","TGFB3"
"LEFTY2","NODAL"
"INHBC","NODAL"
"DCN","TGFB2"
"CHRD","BMP4"
"PORCN","WNT10A"
"INHBB","TGFB1"
"RYK","FZD1"
"FST","INHBC"
"SFRP2","WNT10A"
"PORCN","WNT10B"
"FST","TGFB1"
"CHRD","BMP7"
"SFRP2","WNT10B"
"INHBA","TGFB3"
"INHBB","TGFB3"
"LEFTY1","TGFB3"
"IHH","SMO"
"LTBP1","TGFB3"
"LEFTY2","TGFB3"
"CHRD","GDF5"
"CHRD","BMP8A"
"PORCN","WNT2"
"PORCN","WNT7A"
"SFRP5","WNT10B"
"INHBB","TGFB2"
"PORCN","WNT9A"
"DKK1","WNT1"
"SFRP4","WNT10B"
"CHRD","BMP5"
"DCN","TGFB3"
"SFRP1","WNT10B"
"SFRP1","WNT10A"
"SFRP5","WNT10A"
"PORCN","WNT2B"
"INHBC","TGFB1"
"LEFTY2","TGFB2"
"CCL28","CCR1"
"CHRD","BMP8B"
"INHBA","TGFB2"
"NBL1","GDF6"
"GREM2","GDF5"
"NBL1","GDF5"
"GREM1","BMP6"
"NBL1","BMP6"
"NBL1","BMP8A"
"NBL1","BMP8B"
"GREM1","BMP8B"
"GREM1","GDF5"
"GREM2","BMP6"
"GREM2","BMP7"
"GREM1","BMP8A"
"GREM1","GDF6"
"GREM2","BMP8A"
"GREM2","GDF7"
"GREM2","BMP8B"
"GREM1","BMP4"
"NBL1","BMP4"
"NBL1","BMP7"
"GREM1","BMP7"
"GREM2","GDF6"
"NBL1","BMP5"
"GREM2","BMP5"
"NBL1","BMP2"
"GREM1","BMP5"
"LEFTY1","BMP5"
"LEFTY2","BMP5"
"BMP3","BMP5"
"HPR","ASGR1"
"HPR","ASGR2"
"TBC1D24","CDON"
"TBC1D24","NEO1"
"VTN","NECTIN2"
"NCR3LG1","TMIGD2"
"AGRP","ATRN"
"ANGPTL2","TEK"
"ANGPTL3","TEK"
"ANGPTL4","TEK"
"ANGPTL5","TEK"
"ANGPTL6","TEK"
"TAC1","CXCR3"
"DHH","SMO"
"IL17C","IL17RC"
"TNFSF15","CCR9"
"EMILIN1","TGFB1"
"THBS1","TGFB2"
"FST","TGFB2"
"EMILIN1","TGFB2"
"THBS1","TGFB3"
"FST","TGFB3"
"EMILIN1","TGFB3"
"LEFTY1","BMP2"
"LEFTY2","BMP2"
"BMP3","BMP2"
"LEFTY1","BMP4"
"LEFTY2","BMP4"
"BMP3","BMP4"
"LEFTY1","GDF5"
"LEFTY2","GDF5"
"BMP3","GDF5"
"LEFTY1","GDF6"
"LEFTY2","GDF6"
"BMP3","GDF6"
"LEFTY1","GDF7"
"LEFTY2","GDF7"
"BMP3","GDF7"
"LEFTY1","BMP6"
"LEFTY2","BMP6"
"BMP3","BMP6"
"LEFTY1","BMP7"
"LEFTY2","BMP7"
"BMP3","BMP7"
"LEFTY1","BMP8A"
"LEFTY2","BMP8A"
"BMP3","BMP8A"
"LEFTY1","BMP8B"
"LEFTY2","BMP8B"
"BMP3","BMP8B"
"FST","NODAL"
"FST","GDF1"
"INHBB","GDF1"
"LEFTY1","GDF1"
"LEFTY2","GDF1"
"INHBA","GDF1"
"INHBC","GDF1"
"FST","GDF3"
"INHBB","GDF3"
"LEFTY1","GDF3"
"LEFTY2","GDF3"
"INHBA","GDF3"
"INHBC","GDF3"
"BAMBI","ACVR2A"
"BAMBI","ACVR2B"
"RSPO4","WNT1"
"IGFBP4","WNT1"
"NOTUM","WNT1"
"DKK2","WNT1"
"SERPINF1","WNT1"
"DRAXIN","WNT1"
"DKK4","WNT1"
"SOSTDC1","WNT1"
"SOST","WNT1"
"RSPO4","WNT10A"
"RSPO3","WNT10A"
"RSPO2","WNT10A"
"RSPO1","WNT10A"
"IGFBP4","WNT10A"
"NOTUM","WNT10A"
"DKK2","WNT10A"
"SERPINF1","WNT10A"
"DKK1","WNT10A"
"DRAXIN","WNT10A"
"DKK4","WNT10A"
"SOSTDC1","WNT10A"
"SOST","WNT10A"
"RSPO4","WNT10B"
"RSPO3","WNT10B"
"RSPO2","WNT10B"
"RSPO1","WNT10B"
"IGFBP4","WNT10B"
"NOTUM","WNT10B"
"DKK2","WNT10B"
"SERPINF1","WNT10B"
"DKK1","WNT10B"
"FRZB","WNT10B"
"DRAXIN","WNT10B"
"DKK4","WNT10B"
"SOSTDC1","WNT10B"
"SOST","WNT10B"
"RSPO4","WNT16"
"RSPO3","WNT16"
"RSPO2","WNT16"
"RSPO1","WNT16"
"IGFBP4","WNT16"
"DKK2","WNT16"
"SERPINF1","WNT16"
"DRAXIN","WNT16"
"DKK4","WNT16"
"SOSTDC1","WNT16"
"SOST","WNT16"
"RSPO4","WNT2"
"RSPO3","WNT2"
"RSPO2","WNT2"
"RSPO1","WNT2"
"IGFBP4","WNT2"
"NOTUM","WNT2"
"DKK2","WNT2"
"SERPINF1","WNT2"
"DKK1","WNT2"
"DRAXIN","WNT2"
"DKK4","WNT2"
"SOSTDC1","WNT2"
"SOST","WNT2"
"RSPO4","WNT2B"
"RSPO3","WNT2B"
"RSPO2","WNT2B"
"RSPO1","WNT2B"
"IGFBP4","WNT2B"
"NOTUM","WNT2B"
"DKK2","WNT2B"
"SERPINF1","WNT2B"
"DKK1","WNT2B"
"DRAXIN","WNT2B"
"DKK4","WNT2B"
"SOSTDC1","WNT2B"
"SOST","WNT2B"
"RSPO4","WNT3"
"RSPO3","WNT3"
"RSPO2","WNT3"
"RSPO1","WNT3"
"IGFBP4","WNT3"
"NOTUM","WNT3"
"DKK2","WNT3"
"SERPINF1","WNT3"
"DKK1","WNT3"
"DRAXIN","WNT3"
"DKK4","WNT3"
"SOSTDC1","WNT3"
"SOST","WNT3"
"RSPO4","WNT3A"
"RSPO3","WNT3A"
"RSPO2","WNT3A"
"RSPO1","WNT3A"
"IGFBP4","WNT3A"
"NOTUM","WNT3A"
"DKK2","WNT3A"
"SERPINF1","WNT3A"
"DRAXIN","WNT3A"
"DKK4","WNT3A"
"SOSTDC1","WNT3A"
"SOST","WNT3A"
"RSPO4","WNT4"
"RSPO3","WNT4"
"RSPO2","WNT4"
"RSPO1","WNT4"
"IGFBP4","WNT4"
"NOTUM","WNT4"
"DKK2","WNT4"
"SERPINF1","WNT4"
"DKK1","WNT4"
"DRAXIN","WNT4"
"DKK4","WNT4"
"SOSTDC1","WNT4"
"SOST","WNT4"
"RSPO4","WNT6"
"RSPO3","WNT6"
"RSPO2","WNT6"
"RSPO1","WNT6"
"IGFBP4","WNT6"
"NOTUM","WNT6"
"DKK2","WNT6"
"SERPINF1","WNT6"
"DKK1","WNT6"
"DRAXIN","WNT6"
"DKK4","WNT6"
"SOSTDC1","WNT6"
"SOST","WNT6"
"RSPO4","WNT7A"
"RSPO3","WNT7A"
"RSPO2","WNT7A"
"RSPO1","WNT7A"
"IGFBP4","WNT7A"
"DKK2","WNT7A"
"SERPINF1","WNT7A"
"DKK1","WNT7A"
"DRAXIN","WNT7A"
"DKK4","WNT7A"
"SOSTDC1","WNT7A"
"SOST","WNT7A"
"RSPO4","WNT7B"
"RSPO3","WNT7B"
"RSPO2","WNT7B"
"RSPO1","WNT7B"
"IGFBP4","WNT7B"
"NOTUM","WNT7B"
"DKK2","WNT7B"
"SERPINF1","WNT7B"
"DKK1","WNT7B"
"DRAXIN","WNT7B"
"DKK4","WNT7B"
"SOSTDC1","WNT7B"
"SOST","WNT7B"
"RSPO4","WNT9A"
"RSPO3","WNT9A"
"RSPO2","WNT9A"
"RSPO1","WNT9A"
"IGFBP4","WNT9A"
"NOTUM","WNT9A"
"DKK2","WNT9A"
"SERPINF1","WNT9A"
"DKK1","WNT9A"
"DRAXIN","WNT9A"
"DKK4","WNT9A"
"SOSTDC1","WNT9A"
"SOST","WNT9A"
"RSPO4","WNT9B"
"RSPO3","WNT9B"
"RSPO2","WNT9B"
"RSPO1","WNT9B"
"IGFBP4","WNT9B"
"NOTUM","WNT9B"
"DKK2","WNT9B"
"SERPINF1","WNT9B"
"DKK1","WNT9B"
"DRAXIN","WNT9B"
"DKK4","WNT9B"
"SOSTDC1","WNT9B"
"SOST","WNT9B"
"ROR1","FZD1"
"ROR2","FZD1"
"ROR2","FZD10"
"RYK","FZD2"
"ROR1","FZD2"
"RYK","FZD3"
"ROR1","FZD3"
"ROR2","FZD3"
"RYK","FZD4"
"ROR1","FZD4"
"ROR2","FZD4"
"RYK","FZD5"
"ROR1","FZD5"
"RYK","FZD6"
"ROR1","FZD6"
"ROR2","FZD6"
"RYK","FZD7"
"ROR1","FZD7"
"ROR2","FZD7"
"ROR1","FZD8"
"ROR2","FZD8"
"RYK","FZD9"
"ROR1","FZD9"
"ROR2","FZD9"
"IL17RD","FGFR2"
"IL17RD","FGFR3"
"IL17RD","FGFR4"
"KLB","FGFR2"
"KLB","FGFR3"
"KLB","FGFR4"
"SPARC","PDGFC"
"SPARC","PDGFD"
"NRP2","KDR"
"IGFBP6","IGFL3"
"IGFBP4","IGFL3"
"IGFBP5","IGFL3"
"IGFBP1","IGFL3"
"IGFBP3","IGFL3"
"IGFBP2","IGFL3"
"LEAP2","GHRL"
"AGRP","POMC"
