"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct","lr_pair"
"CNV_Subclone_02","Myeloid_Macro-THBS1","CCN2","LRP1",0.464161194470375,0.854947124796633,1.2995564784584,0.513538748832866,0.813506815365551,"CCN2 -> LRP1"
"CNV_Subclone_04","Myeloid_Interferon-Responsive Myeloid","UBC","TLR4",0.453658925373169,3.2017232099662,0.338308002506024,0.998001998001998,0.419664268585132,"UBC -> TLR4"
"Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_04","HSP90AA1","ERBB2",0.445857504818223,3.83940506019407,0.290735835250046,0.99706457925636,0.400599400599401,"HSP90AA1 -> ERBB2"
"Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_02","TNF","TNFRSF1A",0.443368228042882,1.96755659035326,0.518952070929654,0.76614481409002,0.566760037348273,"TNF -> TNFRSF1A"
"CNV_Subclone_02","Smooth_muscle_cells","IGFBP2","IGF1",0.441049277394164,1.22367094801417,0.94113521207676,0.749766573295985,0.510792331411717,"IGFBP2 -> IGF1"
"Myeloid_Macro-THBS1","CNV_Subclone_04","THBS1","CD47",0.438216328174356,2.50156084661468,0.40767160608396,0.850061957868649,0.505494505494505,"THBS1 -> CD47"
"CNV_Subclone_02","Monocytes","CD55","ADGRE5",0.435092003211767,0.805844881467021,1.08866492804821,0.684407096171802,0.72463768115942,"CD55 -> ADGRE5"
"T_NK_MAIT","CNV_Subclone_02","TGFB1","ITGB1",0.432240661527343,1.98606020004951,0.478860108047156,0.908132530120482,0.50046685340803,"TGFB1 -> ITGB1"
"CNV_Subclone_02","Myeloid_Interferon-Responsive Myeloid","HSPA1A","TLR4",0.431981813128393,3.11834655640336,0.338308002506024,0.975723622782446,0.419664268585132,"HSPA1A -> TLR4"
"CNV_Subclone_04","T_NK_CD4+ T naive","CALM3","SELL",0.423016229116936,0.566660076745669,1.58522947955353,0.623376623376623,0.75542570951586,"CALM3 -> SELL"
"T_NK_CD8+ T CXCL13","CNV_Subclone_04","UBC","ERBB2",0.413576009073872,3.56755900292632,0.290735835250046,0.995348837209302,0.400599400599401,"UBC -> ERBB2"
"T_NK_MAIT","CNV_Subclone_02","TGFB1","ITGB8",0.411197165864514,1.98606020004951,0.468662515297441,0.908132530120482,0.486461251167134,"TGFB1 -> ITGB8"
