patient_id,timepoint,cluster,n_cells,cluster_fraction
"P01","Time1","18",0,0
"P01","Time2","18",0,0
"P02","Time1","18",0,0
"P02","Time2","18",0,0
"P02","Time3","18",0,0
"P03","Time1","18",1,0.0113636363636364
"P03","Time2","18",0,0
"P03","Time3","18",0,0
"P04","Time1","18",0,0
"P04","Time2","18",0,0
"P04","Time3","18",0,0
"P05","Time1","18",0,0
"P05","Time2","18",0,0
"P05","Time3","18",0,0
"P06","Time1","18",1190,0.939226519337017
"P06","Time2","18",36,0.210526315789474
"P06","Time3","18",645,0.74739281575898
"P07","Time1","18",0,0
"P07","Time2","18",1,0.00010568590150074
"P08","Time1","18",0,0
"P08","Time2","18",0,0
"P08","Time3","18",0,0
"P09","Time1","18",6,0.00497512437810945
"P09","Time2","18",3,0.00172215843857635
"P09","Time3","18",5,0.00352609308885755
"P10","Pre-treatment","18",0,0
"P11","Pre-treatment","18",0,0
"P12","Pre-treatment","18",0,0
"P13","Pre-treatment","18",0,0
"P14","Pre-treatment","18",0,0
"P15","Pre-treatment","18",0,0
"P16","Pre-treatment","18",0,0
"P17","Pre-treatment","18",0,0
"P18","Post-treatment","18",0,0
"P19","Post-treatment","18",1,0.000605693519079346
"P20","Post-treatment","18",0,0
"P21","Post-treatment","18",1,0.000172354360565322
"P23","Post-treatment","18",0,0
"P24","Post-treatment","18",0,0
"P01","Time1","19",0,0
"P01","Time2","19",0,0
"P02","Time1","19",0,0
"P02","Time2","19",0,0
"P02","Time3","19",0,0
"P03","Time1","19",0,0
"P03","Time2","19",0,0
"P03","Time3","19",0,0
"P04","Time1","19",2,0.000427441761060056
"P04","Time2","19",13,0.0025390625
"P04","Time3","19",0,0
"P05","Time1","19",0,0
"P05","Time2","19",1,0.000264970853206147
"P05","Time3","19",1,0.000244259892525647
"P06","Time1","19",1,0.000789265982636148
"P06","Time2","19",0,0
"P06","Time3","19",11,0.0127462340672074
"P07","Time1","19",8,0.00183739090491502
"P07","Time2","19",2,0.00021137180300148
"P08","Time1","19",1,0.000204457166223676
"P08","Time2","19",3,0.00066079295154185
"P08","Time3","19",1,0.000260824204486176
"P09","Time1","19",4,0.0033167495854063
"P09","Time2","19",3,0.00172215843857635
"P09","Time3","19",1,0.000705218617771509
"P10","Pre-treatment","19",2,0.00719424460431655
"P11","Pre-treatment","19",9,0.00264550264550265
"P12","Pre-treatment","19",5,0.000831808351355848
"P13","Pre-treatment","19",1,0.000410340582683627
"P14","Pre-treatment","19",1,0.000280190529560101
"P15","Pre-treatment","19",1598,0.68495499357051
"P16","Pre-treatment","19",12,0.00332594235033259
