"gene","rho","p_value","n_groups","cnv_sd","expr_sd","padj"
"NADK",0.042428236684143,0.765206028068571,52,0.457466958478476,0.0407723510737314,0.886533308746542
"SPPL2A",0.0422936775075527,0.765929541437116,52,0.621388509904494,0.196517553885561,0.886987810581015
"CEBPZOS",0.0421836302287,0.766521403619191,52,0.138675049056307,0.204834866129411,0.88748133112503
"CCL8",0.0416362401380557,0.769467363376613,52,0.382004714381845,0.0186547845769038,0.889832970045996
"CD33",0.0415901636016892,0.769715487345612,52,0.65793680900642,0.166989143114278,0.889832970045996
"DDX17",0.0415022548869691,0.770188942652126,52,0.437237316097603,0.293967856784703,0.890188169366592
"NCF1",0.0413416584582862,0.771054090961795,52,0.473665466715671,0.0538352960532794,0.89064135156092
"RPL27A",0.0412965981937747,0.771296884580998,52,0.344642250084035,0.579895757977005,0.89064135156092
"SYVN1",0.0412751466132188,0.77141247757489,52,0.606649926011712,0.104816860125987,0.89064135156092
"ID4",0.0411388742459248,0.772146903374778,52,0.495454451107437,0.70426830916054,0.891297158292093
"AHR",0.0410590431385992,0.77257723685953,52,0.457466958478476,0.262373520978485,0.891409668379931
"PLXDC2",0.040957212876064,0.7731262562864,52,0.437237316097603,0.10791970740679,0.891851007682524
"DPYD",0.0408705839826254,0.773593403985104,52,0.364321307478654,0.047795228657744,0.892197732933724
"COPS4",0.0408385147764156,0.77376635787287,52,0.340791377821662,0.120462637736181,0.892205083480537
"KAT6A",0.0407977265645577,0.773986350358798,52,0.529663087656049,0.06937114471835,0.89226665788242
"MRPS22",0.0406724570026186,0.774662105600809,52,0.489713185982251,0.151741311986601,0.8928193198213
"CRIP1",0.0406470575428515,0.774799140875542,52,0.543714946166432,0.695317626967976,0.8928193198213
"C15orf39",0.0406072529475828,0.775013908481,52,0.533564241115052,0.178713661565099,0.892828917320683
"HSPA9",0.0405837247930289,0.775140863618591,52,0.241757017489212,0.374097786853777,0.892828917320683
"LINC00963",0.0404153803396858,0.776049400224303,52,0.555718930226211,0.046747683468067,0.893293693404844
"APMAP",0.0402348361247396,0.777024107912289,52,0.556058093474279,0.221898741523331,0.893976051034424
"CD79B",0.0400423942255992,0.778063422699216,52,0.469266620789964,0.0216308234423079,0.894602852472655
"SMDT1",0.0400200314981487,0.778184221372312,52,0.437237316097603,0.281168006647468,0.894602852472655
"IGHV2-5",0.0396943611301371,0.779944010721608,52,0.46604138242837,0.0168807195792615,0.896433502451702
"ALG8",0.0396195855215905,0.780348222236251,52,0.577023621203541,0.132401346172238,0.896705659364377
"SREK1IP1",0.0393022468754242,0.782064286489505,52,0.198029508595335,0.155028880718003,0.898099553695924
"TM9SF3",0.0391526448504925,0.782873643063327,52,0.307645169843285,0.0985071649616632,0.898513708721855
"PRDM1",0.0388461571300055,0.78453247226573,52,0.610367937893074,0.112850454359623,0.899585782974991
"IGKV2-28",0.0388422035480859,0.784553876788203,52,0.435941795276363,0.00545177030085687,0.899585782974991
"IGKV1D-33",0.0388422035480859,0.784553876788203,52,0.435941795276363,0.000457654123134784,0.899585782974991
"TAF3",0.0386676140533948,0.785499254149652,52,0.447887617880174,0.0449684312924211,0.899772303625637
"SUMO2",0.0386106286946274,0.785807888274357,52,0.541978388086036,0.561493194740139,0.899772303625637
"CGGBP1",0.0386048484275335,0.78583919616953,52,0.269069117598525,0.21897783260078,0.899772303625637
"YIF1B",0.0385986402176297,0.785872822322765,52,0.558763988254554,0.172031244574246,0.899772303625637
"LSM12",0.038336478474965,0.787293148220565,52,0.340791377821662,0.203697010369864,0.901205834979557
"MT1F",0.0380765353959769,0.788702131648216,52,0.241757017489212,0.312704861664627,0.90243294533387
