p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,dataset_id,parent_cluster,subcluster
4.81509308198567e-13,1.96151248413957,0.364,0.075,1.66823714918476e-08,"1","LSM3","GSE147082","6","1"
4.97750861221159e-13,1.32473079364856,0.758,0.391,1.72450763378683e-08,"1","COX8A","GSE147082","6","1"
6.39370571430784e-13,2.31488195070167,0.293,0.046,2.21516328177909e-08,"1","AC099850.1","GSE147082","6","1"
7.27410297995306e-13,3.69066669062708,0.202,0.016,2.52018571843454e-08,"1","AC011603.2","GSE147082","6","1"
7.5261838957569e-13,1.17282131311002,0.545,0.162,2.60752167252393e-08,"1","CLTA","GSE147082","6","1"
7.54389582047085e-13,2.01592407223502,0.293,0.046,2.61365814596033e-08,"1","CENPM","GSE147082","6","1"
7.72548418367111e-13,1.88168378588181,0.323,0.057,2.67657125027469e-08,"1","GTF2A2","GSE147082","6","1"
7.73067217105802e-13,2.83247190814689,0.222,0.022,2.67836868038476e-08,"1","CENPW","GSE147082","6","1"
1.03456778601552e-12,3.1060866611507,0.202,0.016,3.58436355142938e-08,"1","CENPN","GSE147082","6","1"
1.04949675111866e-12,1.50356737239285,0.556,0.183,3.63608644392569e-08,"1","BUB3","GSE147082","6","1"
1.30014204768839e-12,3.03758524157004,0.202,0.016,4.5044721384212e-08,"1","FANCD2","GSE147082","6","1"
1.93863990174761e-12,1.45543033767492,0.485,0.14,6.71661180359478e-08,"1","JPT1","GSE147082","6","1"
2.29008200163268e-12,2.77831207221692,0.263,0.038,7.93421810285658e-08,"1","LIG1","GSE147082","6","1"
2.6438681375545e-12,1.63662141653856,0.404,0.097,9.15994554937133e-08,"1","RNPS1","GSE147082","6","1"
3.23834215687632e-12,2.68672169131033,0.222,0.024,1.12195602367137e-07,"1","BRCA2","GSE147082","6","1"
3.79789453150829e-12,1.24882688262414,0.717,0.337,1.31581853938636e-07,"1","DEK","GSE147082","6","1"
4.46707732680754e-12,1.9769570964342,0.303,0.054,1.54766361064574e-07,"1","CENPK","GSE147082","6","1"
4.79750661794921e-12,3.23607911557849,0.222,0.027,1.66214414285468e-07,"1","CCDC34","GSE147082","6","1"
6.01101528193664e-12,2.89288031543149,0.202,0.019,2.08257635457977e-07,"1","CDC20","GSE147082","6","1"
6.52930853793959e-12,1.44494811931613,0.747,0.35,2.26214423605455e-07,"1","MT2A","GSE147082","6","1"
6.5952870207622e-12,0.973046974331861,0.939,0.644,2.28500314121327e-07,"1","PFN1","GSE147082","6","1"
8.04925421403536e-12,2.269165680701,0.253,0.035,2.78874461499469e-07,"1","PHF19","GSE147082","6","1"
9.23816227787177e-12,1.92887976484229,0.424,0.116,3.20065370279145e-07,"1","HIST1H1E","GSE147082","6","1"
1.28162215356433e-11,2.49941830929059,0.232,0.03,4.44030811323898e-07,"1","MRPL27","GSE147082","6","1"
1.32231805566061e-11,1.22969632989134,0.707,0.313,4.58130313564175e-07,"1","GAPDH","GSE147082","6","1"
1.60724751488814e-11,2.69881921811702,0.222,0.027,5.56846974008147e-07,"1","NCAPD3","GSE147082","6","1"
2.15885481883444e-11,1.18542253276535,0.697,0.31,7.47956840533379e-07,"1","ARPC5","GSE147082","6","1"
2.4986307381748e-11,2.31366732175853,0.212,0.024,8.6567560554804e-07,"1","CHEK1","GSE147082","6","1"
4.09131955607564e-11,2.1464354632638,0.313,0.067,1.41747857339797e-06,"1","MCM3","GSE147082","6","1"
4.11932990895219e-11,1.27387623223473,0.414,0.108,1.42718304025558e-06,"1","HSPB11","GSE147082","6","1"
4.13429106524697e-11,1.8464124257194,0.374,0.097,1.43236648246546e-06,"1","ENOSF1","GSE147082","6","1"
5.4667358915985e-11,1.01844357954742,0.788,0.375,1.89400531700322e-06,"1","NDUFA4","GSE147082","6","1"
5.97552106918133e-11,1.66725282734501,0.374,0.097,2.07027902962856e-06,"1","SKA2","GSE147082","6","1"
7.69170981182388e-11,1.21604578393922,0.687,0.369,2.6648697814045e-06,"1","ENO1","GSE147082","6","1"
7.80082705121244e-11,2.12538243118507,0.283,0.057,2.70267454016306e-06,"1","ATAD5","GSE147082","6","1"
8.43287756524034e-11,1.73245558960057,0.313,0.067,2.92165476125317e-06,"1","TOPBP1","GSE147082","6","1"
1.01475372109386e-10,1.44409536426121,0.444,0.129,3.51571574210178e-06,"1","SNRPB","GSE147082","6","1"
1.18685495600996e-10,1.60617379696039,0.303,0.062,4.11197768059211e-06,"1","FAM96A","GSE147082","6","1"
1.25743200951778e-10,1.98442261712844,0.283,0.054,4.35649894017528e-06,"1","MZT2B","GSE147082","6","1"
1.83907621053443e-10,1.61703112282978,0.414,0.119,6.37166343901757e-06,"1","RBBP7","GSE147082","6","1"
2.52548144915331e-10,1.22717772453664,0.667,0.332,8.74978302873656e-06,"1","CBX3","GSE147082","6","1"
2.92691400899631e-10,1.0139268052064,0.889,0.65,1.01405862755686e-05,"1","CFL1","GSE147082","6","1"
3.01112284942652e-10,1.84867721778524,0.323,0.075,1.04323362241231e-05,"1","NSD2","GSE147082","6","1"
3.16336897920915e-10,1.17915597355058,0.535,0.186,1.0959808165368e-05,"1","ARPC4","GSE147082","6","1"
3.45155924870266e-10,1.30270900337053,0.616,0.259,1.19582721730552e-05,"1","RBMX","GSE147082","6","1"
5.01097827821533e-10,2.37892242181733,0.242,0.043,1.73610353427048e-05,"1","NUDT1","GSE147082","6","1"
6.24429369626921e-10,0.988714465731735,0.737,0.385,2.16339799400943e-05,"1","HLA.DRB1","GSE147082","6","1"
6.58573728013736e-10,1.21736759311424,0.545,0.21,2.28169453807639e-05,"1","SLIRP","GSE147082","6","1"
6.73334233466242e-10,1.06290384977164,0.535,0.186,2.33283378526714e-05,"1","PPM1G","GSE147082","6","1"
6.90437342369267e-10,1.04346306087247,0.808,0.445,2.39208921637256e-05,"1","NAP1L1","GSE147082","6","1"
7.2430347979735e-10,1.0880090737559,0.687,0.313,2.5094218361059e-05,"1","CHCHD2","GSE147082","6","1"
8.48193643844974e-10,1.65713146903926,0.283,0.059,2.9386516984653e-05,"1","VDAC3","GSE147082","6","1"
9.19640798361986e-10,0.929198363755039,0.909,0.542,3.18618751000494e-05,"1","NCL","GSE147082","6","1"
9.21850820390083e-10,2.00951451320718,0.242,0.043,3.19384435232348e-05,"1","PPIAP22","GSE147082","6","1"
9.29890209776451e-10,1.63923079205068,0.293,0.065,3.22169762079149e-05,"1","DBF4","GSE147082","6","1"
