"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.46806707939905,0.208,0.11,0,"9","LPIN3"
0,2.37572027000558,0.225,0.135,0,"9","RIMKLB"
0,6.36499238145633,0.606,0.025,0,"3","FGFBP1"
0,5.58208217424079,0.702,0.05,0,"3","ACTA2"
0,5.23898287162907,0.308,0.017,0,"3","PCP4"
0,5.16624219948055,0.39,0.023,0,"3","KRT14"
0,5.05464714431476,0.693,0.062,0,"3","CALML5"
0,4.41959124187211,0.343,0.044,0,"3","KRT81"
0,4.31563126396149,0.323,0.02,0,"3","PQLC2L"
0,4.15585673890302,0.306,0.019,0,"3","ANKRD2"
0,4.09453439638707,0.874,0.218,0,"3","TAGLN"
0,3.3406297888506,0.362,0.047,0,"3","TNNC1"
0,3.29419343588507,0.3,0.038,0,"3","CYP4B1"
0,3.28376725779952,0.244,0.027,0,"3","PPP1R1A"
0,3.02843049293725,0.794,0.214,0,"3","KLK5"
0,3.01409029059091,0.27,0.046,0,"3","AARD"
0,2.89091614141816,0.847,0.266,0,"3","TPM2"
0,2.87004001616518,0.358,0.078,0,"3","MESP1"
0,2.85844930643402,0.578,0.09,0,"3","LRRC75A"
0,2.79745446992529,0.545,0.109,0,"3","MT1M"
0,2.77908897825144,0.814,0.244,0,"3","S100A1"
0,2.72940616329342,0.228,0.041,0,"3","GSTT2B"
0,7.53218384492259,0.548,0.007,0,"22","RBP2"
0,7.18433711930836,0.203,0.002,0,"22","SCNN1B"
0,6.29824225211192,0.392,0.009,0,"22","IL33"
0,5.95911468858687,0.492,0.021,0,"22","SERPINA5"
0,5.78583917719267,0.257,0.006,0,"22","TG"
0,5.50725767340559,0.322,0.007,0,"22","BHMT2"
0,5.11406927189978,0.249,0.008,0,"22","FIBIN"
0,5.10455463092124,0.511,0.023,0,"22","NPR3"
0,4.77467608156114,0.774,0.104,0,"22","ITGB6"
0,4.66233833656405,0.241,0.01,0,"22","STAC2"
0,4.64758420443861,0.694,0.067,0,"22","KRT5"
0,4.52853544891753,0.283,0.014,0,"22","PRKG1"
0,4.47821897239364,0.826,0.141,0,"22","LY6K"
0,4.35490631399547,0.358,0.029,0,"22","XKR4"
0,4.24527119645969,0.427,0.046,0,"22","AKR1C3"
0,4.22493440712412,0.371,0.018,0,"22","LMO3"
0,4.18864098722027,0.358,0.027,0,"22","CA9"
0,4.16732931343607,0.516,0.05,0,"22","IDO1"
0,4.14628779353966,0.261,0.006,0,"22","MAGEA1"
0,4.12341403970816,0.329,0.02,0,"22","CHST2"
0,6.90971982201554,0.216,0.004,0,"11","NPY"
0,5.94125161166256,0.51,0.033,0,"11","B4GALNT3"
0,4.47379265337368,0.342,0.041,0,"11","MAP2"
0,4.34200686156855,0.34,0.056,0,"11","SLC6A12"
0,3.9839872807095,0.911,0.345,0,"11","WNK1"
0,3.95854876694564,0.234,0.038,0,"11","DPEP3"
0,3.90755060733222,0.877,0.155,0,"11","APOA1"
0,3.86406317465749,0.227,0.044,0,"11","CCDC77"
0,3.82742375825821,0.383,0.076,0,"11","DTNA"
0,3.52632012584676,0.646,0.182,0,"11","LAMA3"
0,3.40517950927984,0.655,0.148,0,"11","UCHL1"
0,3.36510882383369,0.344,0.093,0,"11","COL6A1"
0,3.32227761865022,0.208,0.051,0,"11","ALPL"
0,3.30398797726441,0.392,0.109,0,"11","ZNF692"
0,3.29063377082638,0.392,0.117,0,"11","ITFG2"
0,3.10670658461735,0.27,0.087,0,"11","SH3BP5L"
0,2.99321098498694,0.206,0.066,0,"11","HTR3A"
0,2.98906029555357,0.759,0.355,0,"11","KDM5A"
0,2.96414649824505,0.291,0.101,0,"11","TTC39C"
0,2.95940657233045,0.415,0.164,0,"11","OSBPL1A"
0,6.88351717284769,0.854,0.018,0,"7","PLA2G2A"
0,6.68672258767642,0.434,0.005,0,"7","SERPINB4"
0,6.62210125030996,0.838,0.026,0,"7","PRG4"
0,6.49959493732522,0.346,0.002,0,"7","FDCSP"
0,6.4913034986127,0.672,0.015,0,"7","CXCL6"
0,6.32902352147757,0.339,0.004,0,"7","ITLN1"
0,6.30461909085991,0.471,0.003,0,"7","OGN"
0,6.2305233718495,0.853,0.036,0,"7","HP"
0,6.14308507038593,0.989,0.038,0,"7","COL3A1"
