"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.30966575943057e-46,2.70502298539744,0.312,0.108,1.78075570239783e-41,"15","TIMM17B"
9.229728310566e-46,2.69721368573171,0.299,0.1,3.09546628079763e-41,"15","VBP1"
1.82862861042734e-89,2.69511550953897,0.571,0.222,6.1328546336512e-85,"15","S100A13"
1.15728611810659e-27,2.62219233646455,0.217,0.077,3.88130618290588e-23,"15","TSR2"
2.77373150281987e-58,2.61831887730897,0.242,0.056,9.30254071415727e-54,"15","BEX2"
2.27656881143968e-73,2.56174737520453,0.656,0.358,7.63515647980639e-69,"15","NDUFB11"
1.85274623261546e-61,2.54321833737234,0.509,0.225,6.21374031494572e-57,"15","SLIRP"
1.34156115908694e-63,2.54256338221188,0.272,0.064,4.49932781534578e-59,"15","CLDN7"
4.68852860789255e-30,2.46932363387987,0.334,0.157,1.572438724515e-25,"15","C12orf75"
7.07512415340232e-50,2.4442761136777,0.471,0.221,2.37285513856807e-45,"15","NBDY"
1.61657942010765e-35,2.37656642705023,0.531,0.35,5.42168405915704e-31,"15","DBI"
0,7.99274329985928,0.39,0.002,0,"18","LINC01781"
0,6.35676163351514,0.531,0.007,0,"18","TNFRSF13C"
0,5.33971072312194,0.221,0.004,0,"18","BLK"
0,5.29319695559084,0.379,0.011,0,"18","BANK1"
0,5.20814384754348,0.354,0.009,0,"18","VPREB3"
0,5.05819635028653,0.207,0.005,0,"18","CD19"
0,4.99601827954891,0.542,0.015,0,"18","MS4A1"
7.24939343225683e-314,4.94111883520858,0.221,0.009,2.43130156931029e-309,"18","STAG3"
0,4.79699672469998,0.817,0.043,0,"18","CD79A"
0,4.3482037352012,0.403,0.031,0,"18","ARHGAP24"
3.35888469327199e-282,4.34541475355183,0.253,0.014,1.12650274842956e-277,"18","P2RX5"
2.61288662704187e-199,3.95308245133722,0.226,0.016,8.76309916977303e-195,"18","BCL11A"
3.87558931649545e-235,3.64487092388181,0.371,0.036,1.29979514496624e-230,"18","IRF8"
1.76699035623319e-153,3.53999162169957,0.245,0.024,5.92613225673488e-149,"18","GNG7"
6.89459727057218e-170,3.52147337354632,0.305,0.034,2.3123100326045e-165,"18","ADAM28"
1.04256824933023e-185,3.5117128892672,0.251,0.02,3.49656539460371e-181,"18","LY9"
4.96444371557027e-205,3.16893004937199,0.523,0.087,1.66497513332796e-200,"18","IGHM"
3.15998464712486e-203,3.14650393210969,0.341,0.035,1.05979565095274e-198,"18","CD79B"
8.21736437105623e-98,3.11440215277725,0.24,0.034,2.75593966276484e-93,"18","CLECL1"
5.5735101987948e-131,3.06863235695482,0.425,0.082,1.8692438504718e-126,"18","SMIM14"
4.81017471930691e-195,4.15968911842164,0.716,0.187,1.61323639736115e-190,"19","APOC1"
9.57646256717082e-92,4.12130430646311,0.304,0.058,3.21175401577775e-87,"19","HLA-DQA2"
5.67516986194592e-83,2.90665219333855,0.509,0.165,1.90333846829942e-78,"19","C1QC"
7.20387157672581e-117,2.86087316366156,0.815,0.416,2.4160344494023e-112,"19","APOE"
6.73478460937529e-60,2.825310849472,0.415,0.147,2.25871206229228e-55,"19","CD68"
2.1230424373941e-109,2.76246195778486,0.651,0.239,7.12025972653232e-105,"19","AIF1"
1.10360332256955e-106,2.58523413977011,0.787,0.391,3.70126482323377e-102,"19","C1QB"
7.46907576815097e-24,2.54635361969508,0.233,0.091,2.50497863112247e-19,"19","CFD"
6.07977820189494e-28,2.50350625469387,0.389,0.203,2.03903601335153e-23,"19","SELENOP"
1.08995871917446e-17,2.4986280172528,0.236,0.111,3.65550355236732e-13,"19","LY96"
6.60870508966431e-23,2.44626635236937,0.281,0.129,2.21642751297162e-18,"19","LST1"
3.37777460034567e-88,2.3246861531313,0.747,0.388,1.13283804546393e-83,"19","C1QA"
3.14807003596754e-42,2.27269733254645,0.457,0.207,1.05579972866279e-37,"19","LYZ"
3.68741881135153e-151,2.27016879046529,1,0.984,1.23668652095108e-146,"19","FTL"
3.74702417580009e-89,2.23445919009921,0.719,0.35,1.25667696807983e-84,"19","TYROBP"
7.58345232053575e-13,2.12296126506297,0.21,0.106,2.54333823926128e-08,"19","FCGR2A"
3.10663837259368e-15,2.01535794145933,0.25,0.128,1.04190437740047e-10,"19","SPI1"
4.18704892106198e-40,2.01040167272204,0.395,0.162,1.40425246714577e-35,"19","MS4A6A"
6.32429103602905e-06,1.8579560445887,0.256,0.197,0.212104072766342,"19","PLTP"
1.46458161416566e-50,1.81643246623559,0.588,0.303,4.91191381758878e-46,"19","FCER1G"
0,2.02579801231562,0.541,0.246,0,"0","TUBA4A"
0,1.92437427596226,0.639,0.382,0,"0","CCL4"
1.26520761874514e-308,1.91707874589791,0.298,0.098,4.24325331174745e-304,"0","GZMH"
0,1.77257353788879,0.667,0.351,0,"0","RGCC"
2.5873370892522e-249,1.76953958897832,0.261,0.088,8.67741112993403e-245,"0","CD8B"
6.41449764028429e-170,1.64712158487152,0.235,0.095,2.15129421859855e-165,"0","GZMM"
1.52052859958615e-113,1.64660658329666,0.311,0.183,5.09954881729202e-109,"0","CCL4L2"
0,1.62973292706245,0.935,0.599,0,"0","RPS26"
