"source_group","target_group","n_lr_pairs","total_score","mean_score","max_score","top_ligand","top_receptor"
"T_NK_CD8+ T CXCL13","T_NK_¦Ã¦ÄT",84,93.1121788354574,1.10847831946973,8.46150343727461,"B2M","CD3D"
"T_NK_MAIT","Myeloid_Macro-THBS1",147,93.0929590174222,0.633285435492668,7.40761238879961,"B2M","LILRB2"
"B_Early-PC_MS4A1low","Myeloid_Macro-THBS1",188,92.8583503905232,0.493927395694273,10.769183180952,"MIF","CD74"
"Myeloid_Macro-LYVE1","Myeloid_Macro-TIMD4",275,92.7794812499684,0.337379931818067,6.87722620863434,"MIF","CD74"
"Myeloid_Interferon-Responsive Myeloid","T_NK_MAIT",153,92.7123453271816,0.605963041354128,7.7829173471644,"LGALS1","CD69"
"Myeloid_mDC_LAMP3","T_NK_¦Ã¦ÄT",129,92.5167337281985,0.717183982389135,8.01947483025268,"B2M","CD3D"
"Myeloid_Macro-LYVE1","Myeloid_cDC2-like",297,92.5022440272881,0.311455367095246,11.6059087785629,"MIF","CD74"
"T_NK_CD8+ T effector","T_NK_CD8+ T resident memory",64,92.4653548269311,1.4447711691708,8.94407774630321,"B2M","CD3D"
"Myeloid_Macro-MCEMP1","T_NK_¦Ã¦ÄT",132,92.4416729705503,0.700315704322351,6.51352883326178,"B2M","CD3D"
"T_NK_Th17","Myeloid_Macro-THBS1",148,92.0295086091505,0.621821004115882,7.16470878538537,"B2M","LILRB2"
"Myeloid_cDC2-like","T_NK_¦Ã¦ÄT",137,92.0180998632385,0.671664962505391,6.81219109181098,"B2M","CD3D"
"T_NK_CD8+ T cytotoxic","T_NK_¦Ã¦ÄT",89,91.9908903666215,1.03360550973732,8.2958042541915,"B2M","CD3D"
"T_NK_CD56bright regulatory","T_NK_CD8+ T cytotoxic",82,91.9777027712551,1.12167930208848,6.23567045067017,"B2M","CD3D"
"Monocytes","Myeloid_Interferon-Responsive Myeloid",298,91.8260162898284,0.308140994261169,9.16297429642395,"MIF","CD74"
"Smooth_muscle_cells","Myeloid_Proliferating Myeloid",464,91.7226689021557,0.197678165737404,9.60442145007245,"MIF","CD74"
"T_NK_CD8+ T effector","T_NK_CD8+ T CXCL13",66,91.4970734876767,1.38631929526783,9.59457171111882,"B2M","CD3D"
"Myeloid_cDC2","Myeloid_cDC2-like",288,91.3687400532202,0.317252569629237,12.0752591720387,"MIF","CD74"
"Myeloid_Macro-LYVE1","Myeloid_Monocyte-like",230,91.3650580745418,0.39723938293279,7.27765345074803,"CD14","ITGB2"
