"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct"
"Myeloid_Monocyte-like","CNV_Subclone_01","VCAN","ITGB1",0.258993715169993,2.63638532746618,0.422434078784257,0.893066980023502,0.260397830018083
"T_NK_CD4+ T naive","CNV_Subclone_05","RPS27A","ERBB2",0.25883723360838,4.4708506201937,0.292519095679475,1,0.197916666666667
"Myeloid_Macro-THBS1","CNV_Subclone_02","HLA-A","ERBB2",0.25881851811256,2.86381413167543,0.273685599521673,0.985130111524164,0.335200746965453
"T_NK_MAIT","CNV_Subclone_02","TGFB1","CXCR4",0.258802036794945,1.98606020004951,0.390049115850171,0.908132530120482,0.367880485527544
"T_NK_CD56bright regulatory","CNV_Subclone_01","KLRD1","HLA-E",0.258744826105831,1.53470309577031,0.689368071470092,0.722591362126246,0.338456901748041
"T_NK_¦Ã¦ÄT","CNV_Subclone_04","TGFB1","ITGB8",0.258717297297394,1.68280823897657,0.406115420093365,0.787826086956522,0.480519480519481
"B cells","CNV_Subclone_05","APOE","LSR",0.258635091009759,1.85922009614951,0.599129991772661,0.602427921092564,0.385416666666667
"Myeloid_Proliferating Myeloid","CNV_Subclone_02","RPS27A","ERBB2",0.258043967129257,2.8446776115476,0.273685599521673,0.988789237668161,0.335200746965453
"Myeloid_cDC1","CNV_Subclone_04","PKM","CD44",0.257891554040949,1.83355878870826,0.357606161001,0.991701244813278,0.396603396603397
"T_NK_CD4+ T regulatory","CNV_Subclone_02","LTB","LTBR",0.257842681579566,2.76206108223506,0.286378865760736,0.879385964912281,0.370681605975724
"T_NK_CD56dim cytotoxic NK","CNV_Subclone_02","CALM1","MYLK",0.257653315268468,2.60699733782235,0.297025249173998,0.95283926852743,0.349206349206349
"T_NK_CD4+ T regulatory","CNV_Subclone_02","TIMP1","CD63",0.257231604378404,0.528766659024557,1.88767337081777,0.271929824561404,0.947712418300654
"T cells","CNV_Subclone_04","VIM","CD44",0.25707303867844,2.2007141814029,0.357606161001,0.823628691983122,0.396603396603397
"Myeloid_Interferon-Responsive Myeloid","CNV_Subclone_04","HSP90AA1","ERBB2",0.256962391120165,2.25494833930885,0.290735835250046,0.97841726618705,0.400599400599401
"T_NK_¦Ã¦ÄT","CNV_Subclone_02","CALM1","MYLK",0.256314471698003,2.58628759536464,0.297025249173998,0.955478260869565,0.349206349206349
"Myeloid_Macro-Inflammatory_M1","CNV_Subclone_02","RPS27A","ERBB2",0.255762568872309,2.90427180398055,0.273685599521673,0.959937156323645,0.335200746965453
"T_NK_CD4+ T effector","CNV_Subclone_02","UBA52","ERBB2",0.255228536982568,2.83070400340713,0.273685599521673,0.982828739267962,0.335200746965453
"Monocytes","CNV_Subclone_02","UBC","ERBB2",0.255208140608625,2.85426571506833,0.273685599521673,0.97463768115942,0.335200746965453
"Myeloid_Proliferating Myeloid","CNV_Subclone_03","C3","CD81",0.254949898552949,0.695628270306403,1.29130201960535,0.458520179372197,0.619000979431929
"B_Bn_TCL1A","CNV_Subclone_02","UBA52","ERBB2",0.254607957465014,2.87497246141016,0.273685599521673,0.965342349957735,0.335200746965453
"B cells","CNV_Subclone_01","C3","CD81",0.254554364822367,0.91970493717497,1.14045751358085,0.48103186646434,0.504520795660036
"B_PC_IGHG","CNV_Subclone_02","TIMP1","CD63",0.254521748866626,0.403824443503276,1.88767337081777,0.352313167259786,0.947712418300654
"T_NK_Th17","CNV_Subclone_04","CALM1","PTPRA",0.254476781495569,2.24361080213894,0.285755595003603,0.969072164948454,0.40959040959041
"Myeloid_Macro-Inflammatory_M1","CNV_Subclone_04","SPP1","CD44",0.254458182546863,2.46378988974273,0.357606161001,0.728201099764336,0.396603396603397
"B_PC_IGHG","CNV_Subclone_04","RPS27A","ERBB2",0.254426795597492,2.23217178454695,0.290735835250046,0.97864768683274,0.400599400599401
"T_NK_CD8+ T cytotoxic","CNV_Subclone_02","CCL5","SDC4",0.254350166199283,3.40918223535295,0.256420661851469,0.941434846266471,0.30905695611578
"Myeloid_Monocyte-like","CNV_Subclone_01","FPR1","ANXA1",0.254334460464771,1.35006882469382,0.716894804094412,0.732079905992949,0.358951175406872
"Myeloid_Macro-MCEMP1","CNV_Subclone_02","VCAN","ITGB1",0.254079532591557,1.49049002835633,0.478860108047156,0.711306256860593,0.50046685340803
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_01","CD14","ITGB1",0.254022918692271,2.49851266729486,0.422434078784257,0.924261874197689,0.260397830018083
"B cells","CNV_Subclone_02","HLA-A","ERBB2",0.253987263356019,2.80690085042876,0.273685599521673,0.986342943854325,0.335200746965453
"Myeloid_Macro-MCEMP1","CNV_Subclone_04","HSP90AA1","ERBB2",0.253981729793583,2.32080274213203,0.290735835250046,0.939626783754116,0.400599400599401
"T_NK_Th17","CNV_Subclone_05","RPS27A","ERBB2",0.253946046387395,4.38636599209143,0.292519095679475,1,0.197916666666667
"Myeloid_cDC2","CNV_Subclone_02","HLA-A","ERBB2",0.253857531689698,2.78208339891561,0.273685599521673,0.994633273703041,0.335200746965453
"T_NK_CD56bright regulatory","CNV_Subclone_04","VIM","CD44",0.253008427001262,2.17832731256628,0.357606161001,0.818936877076412,0.396603396603397
