dataset_id,cluster,n_cells,n_samples,total_samples_in_dataset,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label,cluster_sample_cramers_v,cluster_patient_cramers_v,cluster_timepoint_cramers_v,cluster_treatment_cramers_v
"GSE154600","3",3102,5,5,"T76",3044,0.981302385557705,0.0737256615813313,0.0369564611920266,1.03837465254974,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","4",2600,4,5,"T59",2583,0.993461538461539,0.0277678879730627,0.0130124260355029,1.0131839816212,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","5",1980,3,5,"T77",1977,0.998484848484848,0.00765183013712968,0.0030267319661258,1.00303592088491,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","6",1706,3,5,"T77",1701,0.997069167643611,0.0136650229174057,0.00584860824976063,1.00588301570394,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","7",1511,1,5,"T76",1511,1,0,0,1,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","8",1510,3,5,"T59",1508,0.998675496688742,0.00684637227791955,0.00264637515898436,1.00265339704301,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","9",977,2,5,"T90",973,0.995905834186285,0.0165252004844524,0.00815480724001061,1.00822185488173,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE158722","0",10418,15,39,"P05_Time3",3787,0.363505471299674,0.30770719076738,0.667134160676541,3.00421335524388,"mixed",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","1",7468,30,39,"P04_Time2",3782,0.506427423674344,0.318255200026807,0.57902146462292,2.37541802245161,"mixed",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","10",4287,14,39,"P09_Time2",1696,0.395614648938652,0.323006768221292,0.670211594946211,3.03224729758737,"mixed",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","11",3359,23,39,"P11_Pre-treatment",3305,0.983923786841322,0.0345840581583415,0.031871646966763,1.03292088994905,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","12",2789,9,39,"P23_Post-treatment",2772,0.993904625313732,0.0133410631806326,0.0121472963819216,1.01229666764836,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","13",2642,30,39,"P08_Time1",482,0.182437547312642,0.722949005601639,0.903813148229755,10.3964313375037,"mixed",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","14",2619,23,39,"P17_Pre-treatment",1039,0.396716303932799,0.371390580354451,0.685147060988946,3.17608596299268,"mixed",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","15",2531,25,39,"P04_Time3",1562,0.617147372580008,0.315782687891614,0.552808548163188,2.23617870129798,"moderate_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","16",2347,4,39,"P14_Pre-treatment",2342,0.997869620792501,0.00471057376220221,0.00425422295258038,1.00427239868915,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","17",2107,8,39,"P13_Pre-treatment",2081,0.98766018035121,0.023125580438685,0.0244827680191843,1.02509721736998,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","18",1889,10,39,"P06_Time1",1190,0.629962943356273,0.216639061233334,0.486174309990609,1.94618529093344,"moderate_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","19",1771,27,39,"P15_Pre-treatment",1598,0.90231507622812,0.157571411293153,0.184779500076679,1.22666198911099,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","2",6615,21,39,"P08_Time2",4231,0.639606953892668,0.229494099550885,0.487835829721155,1.95249894082898,"moderate_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","20",1726,2,39,"P08_Time3",1618,0.937427578215527,0.0638689227574971,0.117314227632997,1.13290599135682,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","21",1664,21,39,"P14_Pre-treatment",442,0.265625,0.542492355092348,0.830654528014053,5.90508850501173,"mixed",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
